Player,Span,Matches,Innings,NO,Runs,Highest Score,Average,100's,50's,0's
SR Tendulkar (IND),1989-2013,664,782,74,34357,248*,48.52,100,164,34
V Kohli (IND),2008-2026,559,626,91,28215,254*,52.73,85,146,40
KC Sangakkara (Asia/ICC/SL),2000-2015,594,666,67,28016,319,46.77,63,153,28
RT Ponting (AUS/ICC),1995-2012,560,668,70,27483,257,45.95,71,146,39
DPMD Jayawardene (Asia/SL),1997-2015,652,725,62,25957,374,39.15,54,136,47
JH Kallis (Afr/ICC/SA),1995-2014,519,617,97,25534,224,49.1,62,149,33
R Dravid (Asia/ICC/IND),1996-2012,509,605,72,24208,270,45.41,48,146,21
JE Root (ENG),2012-2026,384,506,55,22413,262,49.69,61,116,26
BC Lara (ICC/WI),1990-2007,430,521,38,22358,400*,46.28,53,111,33
ST Jayasuriya (Asia/SL),1989-2011,586,651,35,21032,340,34.14,42,103,53
S Chanderpaul (WI),1994-2015,454,553,94,20988,203*,45.72,41,125,21
Inzamam-ul-Haq (Asia/ICC/PAK),1991-2007,499,551,76,20580,329,43.32,35,129,35
RG Sharma (IND),2007-2026,508,541,66,20109,264,42.33,50,111,34
AB de Villiers (Afr/SA),2004-2018,420,484,68,20014,278*,48.11,47,109,20
CH Gayle (ICC/WI),1999-2021,483,551,35,19593,333,37.97,42,105,44
KS Williamson (NZ),2010-2025,376,449,50,19292,251,48.35,48,103,21
DA Warner (AUS),2009-2024,383,474,26,18995,335*,42.39,49,98,23
HM Amla (SA/World),2004-2019,349,437,36,18672,311*,46.56,55,88,19
SC Ganguly (Asia/IND),1992-2008,424,488,40,18575,239,41.46,38,107,29
SR Waugh (AUS),1985-2004,493,548,104,18496,200,41.65,35,95,37
LRPL Taylor (NZ/Samoa),2006-2025,454,513,85,18244,290,42.62,40,93,29
Younis Khan (PAK),2000-2017,408,491,45,17790,313,39.88,41,83,43
AR Border (AUS),1978-1994,429,517,83,17698,205,40.77,30,102,22
TM Dilshan (SL),1999-2016,497,527,64,17671,193,38.16,39,83,35
SPD Smith (AUS),2010-2026,360,429,59,17657,239,47.72,49,84,20
Mohammad Yousuf (Asia/PAK),1998-2010,381,432,52,17300,223,45.52,39,97,26
MS Dhoni (Asia/IND),2004-2019,538,526,142,17266,224,44.96,16,108,21
V Sehwag (Asia/ICC/IND),1999-2013,374,443,15,17253,319,40.31,38,72,31
